Code;Description;Detailed English Description;Detailed French Description
BC.03;SERVICES D'ACCUEIL;Receptionist and front-desk services;Services d’accueil (physique ou téléphonique, standard, visiteurs)
BC.1;SERVICES DE CONTRÔLES REGLEMENTAIRES;Mandatory regulatory checks (non-scientific);Contrôles réglementaires obligatoires liés aux bâtiments ou équipements
BC.11;CONTRÔLES RELATIFS A L'ENVIRONNEMENT (EAU, EAUX USEES, INCINERATEURS…);Environmental compliance checks (e.g. wastewater, air quality);Contrôles environnementaux (eaux usées, incinérateurs, pollution)
BC.12;CONTRÔLES REGLEMENTAIRES DES EQUIPEMENTS DES BATIMENTS;Regulatory checks for building systems (e.g. elevators, fire safety);Contrôles des équipements techniques des bâtiments (ascenseurs, sécurité incendie)
BC.13;SERVICES D'ANALYSES ET ESSAIS DES PRODUITS ET EQUIPEMENTS (hors scientifique);Product and equipment testing services (non-lab/scientific);Analyses et essais techniques des produits et équipements (hors recherche)
BD;FOURNITURES ET MATERIEL POUR LA CONSTRUCTION, L'AMENAGEMENT, L'EQUIPEMENT ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES;Building supplies, equipment, and materials for construction, maintenance, and outfitting;Fournitures et équipements pour la construction, l’aménagement et l’entretien des bâtiments
BD.0;FOURNITURES ET MATERIEL POUR LA CONSTRUCTION ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES;Construction and maintenance materials (e.g. cement, cables, tools);Matériaux et fournitures pour travaux de construction ou maintenance
BD.01;MATERIAUX ET CONSOM. PR LA CONSTRUCT. ET L'ENTRETIEN DES BATIMENTS ET INFRASTR.;Building materials and consumables (e.g. cement, plaster, screws);Matériaux et consommables pour travaux (ciment, plâtre, visserie)
BD.02;FOURNITURES POUR LES INSTALLATIONS ELECTRIQUES DES BATIMENTS ET INFRASTRUCTURES;Electrical installation supplies (e.g. cables, switches, junction boxes);Fournitures pour installations électriques (câbles, interrupteurs)
BD.03;FOURNITURES DE PLOMBERIE;Plumbing supplies (e.g. pipes, fittings, valves);Fournitures de plomberie (tuyaux, raccords, vannes)
BD.04;OUTILLAGE POUR LA CONSTRUCTION ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES;Tools for building work and maintenance (e.g. drills, hammers);Outillage pour travaux de bâtiment (perceuses, marteaux, échelles)
BD.05;BATIMENTS PREFABRIQUES OU MODULAIRES;Prefabricated or modular buildings (e.g. site offices, containers);Bâtiments modulaires ou préfabriqués (bungalows, préaux)
BD.1;FOURNITURES ET MATERIEL D'AMENAGEMENT DES BÂTIMENTS;Interior finishing and fit-out supplies (e.g. doors, wall panels);Matériaux et équipements pour l’aménagement intérieur des bâtiments
BD.11;PORTES, FENETRES ET MENUISERIES;Doors, windows, and joinery elements;Portes, fenêtres, huisseries et menuiseries intérieures/extérieures
BD.12;FOURNITURES POUR LE REVETEMENT DES MURS ET PLAFONDS;Wall and ceiling covering supplies (e.g. paint, tiles, panels);Revêtements pour murs et plafonds (peinture, lambris, carrelage)
BD.13;FOURNITURES POUR LE REVETEMENT DES SOLS;Floor coverings (e.g. vinyl, tiles, carpet);Revêtements de sol (vinyle, moquette, carrelage)
BD.14;FOURNITURES ET EQUIPEMENTS D'ORNEMENT DES LOCAUX;Decorative elements for interiors (e.g. moldings, signage, art panels);Éléments décoratifs pour locaux (moulures, tableaux, signalétique)
BD.15;QUINCALLERIE POUR L'AMENAGEMENT ET L'ENTRETIEN DES BATIMENTS ;Hardware for building maintenance (e.g. hinges, locks, fasteners);Quincaillerie pour bâtiment (gonds, serrures, visseries)
BD.2;FOURNITURES ET MATERIEL POUR L'EQUIPEMENT DES BÂTIMENTS;Building infrastructure equipment (HVAC, electrical, plumbing);Matériel technique pour l’équipement des bâtiments
BD.21;PETITES FOURNITURES ELECTRIQUES POUR L'EQUIPEMENT DES BATIMENTS ET INFRASTR.;Small electrical supplies (e.g. outlets, cable ties, connectors);Petites fournitures électriques (prises, dominos, colliers)
BD.22;GROS EQUIPEMENTS DES INSTALLATIONS ELECTRIQUES;Large electrical systems (e.g. panels, transformers);Gros équipements électriques (tableaux, transformateurs, armoires)
BD.23;EQUIPEMENTS MECANIQUES POUR BATIMENTS ;Mechanical equipment (e.g. motors, hoists, ventilation motors);Équipements mécaniques pour bâtiments (moteurs, treuils, ventilateurs)
BD.24;EQUIPEMENTS DE CHAUFFAGE, VENTILATION, CLIMATISATION (HORS BAT. EXPERIMENTAUX);Heating, ventilation, and air conditioning (e.g. boilers, HVAC units);Équipements CVC (chaudières, unités de climatisation)
BD.25;EQUIPEMENTS SANITAIRES ET DE PLOMBERIE POUR L'EQUIPEMENT DES BATIMENTS;Sanitary installations (e.g. sinks, toilets, faucets);Équipements sanitaires et plomberie (lavabos, WC, robinets)
BD.26;FOURNITURES ET EQUIPEMENT DE SIGNALISATION DES BATIMENTS ET INFRASTRUCTURES;Signage for buildings (e.g. evacuation plans, door signs);Signalisation des bâtiments (plans d’évacuation, plaques de porte)
BD.27;FOURNITURES ET EQUIPEMENTS DE SECURITE (SYSTEMES D'ALARMES, EXTINCTEURS,…);Safety and fire prevention equipment (e.g. alarms, extinguishers);Équipements de sécurité (détecteurs, extincteurs, alarmes)
BE;TRAVAUX D'AMENAGEMENT ET DE MAINTENANCE DES BATIMENTS;Construction, renovation, and maintenance services;Travaux de bâtiment : aménagement, rénovation, maintenance
BE.0;TRAVAUX D'AMENAGEMENT COURANTS DES BÂTIMENTS ET INFRASTRUCTURES;Routine building works and site improvements;Travaux courants d’aménagement de bâtiments et d’infrastructures
BE.01;MACONNERIE, DEMOLITION ET DESAMIANTAGE;Masonry, demolition, and asbestos removal;Maçonnerie, démolition et désamiantage
BE.02;MENUISERIE, SERRURERIE;Carpentry and locksmithing work (e.g. doors, fittings, custom joinery);Menuiserie et serrurerie (portes, fenêtres, agencements)
BE.03;ETANCHEITE, BARDAGE, COUVERTURE ET ZINGUERIE;Waterproofing, siding, roofing, and guttering;Travaux d’étanchéité, bardage, couverture et zinguerie
BE.04;PLATRERIE, CLOISONS SECHES, FAUX PLAFONDS;Plastering, partitions, and false ceilings;Plâtrerie, cloisons sèches et plafonds suspendus
BE.05;PEINTURES, REVETEMENTS DE SOLS, RAVALEMENT;Painting, flooring, and facade restoration;Peinture, sols (pose), ravalement de façades
BE.06;ELECTRICITE SUR INSTALLATIONS ELECTRIQUES DES BATIMENTS;Electrical work on building installations;Électricité bâtiment (câblage, armoires, éclairage)
BE.07;CVC, PLOMBERIE ET FLUIDES SPECIAUX;HVAC, plumbing, and special fluids installations;Travaux de plomberie, chauffage, ventilation, fluides spécifiques
BE.08;VOIRIE RESEAUX DISTRIBUTION (VRD);External networks and roadwork (e.g. sewer, water, telecom trenches);Voirie et réseaux divers (VRD – canalisations, fourreaux, câbles)
BE.09;AUTRES TRAVAUX D'AMENAGEMENT DES BATIMENTS;Other construction works (e.g. access ramps, lifts, fences);Autres travaux de bâtiment (rampes, ascenseurs, clôtures)
BE.1;REPARATION ET MAINTENANCE DES EQUIPEMENTS DES BATIMENTS;Maintenance of building technical equipment;Entretien et dépannage des équipements techniques des bâtiments
BE.11;REPARATION ET MAINTENANCE DES EQUIPEMENTS MECANIQUES DES BATIMENTS;Mechanical systems repair (e.g. motors, lifts);Réparation d’équipements mécaniques (moteurs, ascenseurs)
BE.12;REPARATION ET MAINTENANCE DES CHAMBRES FROIDES;Cold room maintenance (e.g. compressors, seals);Maintenance des chambres froides (groupes froids, joints)
BE.13;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE SECURITE;Fire safety and security equipment repair (e.g. alarms, sprinklers);Maintenance des équipements de sécurité incendie (détecteurs, sprinklers)
BE.14;REPARATION ET MAINTENANCE DES INSTALLATIONS ET EQUIPEMENTS ELECTRIQUES;Electrical maintenance (e.g. lighting, distribution panels);Maintenance des installations électriques (éclairage, armoires)
BE.15;REPAR. ET MAINTENANCE EQUIPMTS CLIMATISATION, VENTILATION, CHAUFFAGE, RESERVOIRS;HVAC and heating system repair (e.g. boilers, ducts);Entretien CVC (chaudières, climatiseurs, conduits)
BE.16;REPARATION ET MAINTENANCE DES EQUIPEMENTS SANITAIRES ET PLOMBERIE;Plumbing and sanitary maintenance (e.g. leaks, fittings);Maintenance des équipements sanitaires (robinets, fuites)
BE.17;REPARATION ET MAINTENANCE DES AUTRES EQUIPEMENTS DES BATIMENTS;Other equipment repairs (e.g. automated doors, awnings);Réparations diverses (portes automatiques, stores, volets)
BE.2;NE PLUS UTILISER;Do not use (deprecated);À ne plus utiliser
BE.21;NE PLUS UTILISER;Do not use (deprecated);À ne plus utiliser
BF;TRAVAUX DE CONSTRUCTION ET SERVICES CONNEXES;Construction works and related services;Travaux de construction et prestations associées
BF.0;OPERATIONS DE TRAVAUX DE CONSTRUCTION;Building construction operations (new, rehab, safety);Opérations de construction (neuf, réhabilitation, sécurisation)
BF.01;TRAVAUX DE CONSTRUCTION NEUVE ;New building construction (e.g. educational, administrative, technical buildings);Travaux de construction neuve (bâtiments scolaires, tertiaires, techniques)
BF.02;TRAVAUX DE REHABILITATION OU DE REUTILISATION ;Renovation or repurposing of existing structures;Travaux de réhabilitation ou reconversion de bâtiments existants
BF.03;TRAVAUX DE MISE EN SECURITE OU DE MISE EN CONFORMITE REGLEMENTAIRE;Works for compliance or safety (e.g. fire exits, accessibility);Travaux de mise aux normes ou de sécurisation (sorties de secours, accessibilité)
BF.1;SERVICES  D'ETUDE  POUR LA CONSTRUCTION ET L'ENTRETIEN;Technical and design studies for construction and maintenance;Études techniques et de conception pour projets immobiliers
BF.11;ASSISTANCE A LA MAITRISE D'OUVRAGE, CONDUITE D'OPERATIONS, APP;Client advisory and project supervision services;Assistance à maîtrise d’ouvrage (AMO), conduite d’opérations
BF.12;MAITRISE D'ŒUVRE ET INGENIERIE;Project design and engineering (architecture, technical coordination);Maîtrise d’œuvre et ingénierie (plans, coordination, suivi technique)
BF.13;ETUDES PREALABLES (TOPOGRAPHIE, ETUDES DE SOL, PROSPECTION…), PROGRAMMATION;Preliminary studies (e.g. topography, soil, feasibility);Études préalables (topographiques, géotechniques, de faisabilité)
BF.14;CONTROLES TECHNIQUES, MISSIONS DE SECURITE, CSPS ;Technical audits, safety missions, health and safety coordination (CSPS);Contrôles techniques, missions de sécurité, coordination SPS
BF.15;DIAGNOSTICS, ORDONNANCEMENT-PILOTAGE-COORDINATION (OPC), SSI ;Building diagnostics, project scheduling, and fire safety systems;Diagnostics, OPC (ordonnancement, pilotage), systèmes de sécurité incendie
BG;ESPACES VERTS;Green spaces: landscaping, planting, and upkeep;Aménagement et entretien des espaces verts
BG.0;PRODUITS ET EQUIPEMENTS POUR LA CREATION ET L'ENTRETIEN DES ESPACES VERTS;Supplies and equipment for landscaping and garden maintenance;Produits et matériel pour la création et l’entretien des espaces verts
BG.01;PRODUITS PHYTOSANITAIRES POUR ESPACES VERTS;Plant care products (e.g. fertilizers, weedkillers, fungicides);Produits phytosanitaires (engrais, herbicides, fongicides)
BG.02;SEMENCES, ARBRES, PLANTES ET FLEURS POUR ESPACES VERTS;Seeds, trees, plants, and flowers for public green areas;Semences, plants, arbres, fleurs pour aménagement paysager
BG.03;PETITES FOURNITURES POUR ESPACES VERTS;Small gardening supplies (e.g. stakes, nets, watering accessories);Petites fournitures pour espaces verts (tuteurs, filets, arrosoirs)
BG.04;MATERIEL POUR CREATION ET ENTRETIEN D'ESPACES VERTS;Equipment for landscape creation and upkeep (e.g. mowers, trimmers);Matériel de jardinage professionnel (tondeuses, débroussailleuses)
BG.1;REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ESPACES VERTS;Repair of gardening and landscaping machinery;Entretien et réparation du matériel d’espaces verts
BG.11;REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES ESPACES VERTS ;Maintenance of tools for green space upkeep (e.g. mower servicing);Maintenance des équipements (tondeuses, tronçonneuses, pulvérisateurs)
BG.2;SERVICES RELATIFS AUX ESPACES VERTS;Landscaping and green area maintenance services;Services d’aménagement et d’entretien paysager
BG.21;SERVICES DE CREATION ET D'ENTRETIEN DES ESPACES VERTS;Green space services (e.g. planting, trimming, mowing);Création et entretien des espaces verts (plantation, taille, tonte)
C;COMMUNICATION - CULTURE - DOCUMENTATION;Communication, cultural services, and documentation;Communication, culture et documentation institutionnelle
CA;COMMUNICATION : CONCEPTION, EDITION, IMPRESSION;Communication: design, publishing, and print production;Communication : conception, édition et impression
CA.0;COMMUNICATION : CONCEPTION DE PUBLICATIONS;Design and content creation for publications (print and digital);Conception éditoriale et rédactionnelle de supports de communication
CA.01;COMMUNICATION : CONCEPTION-REDACTION;Content strategy and copywriting for campaigns, brochures, etc.;Rédaction de contenus pour supports de communication (brochures, articles)
CA.02;COMMUNICATION : CONCEPTION-REALISATION;Full-service creation of communication materials (layout, visuals, content);Création complète de supports (contenu, visuel, mise en page)
CA.03;COMMUNICATION : TRAVAUX GRAPHIQUES ;Graphic design services (e.g. posters, logos, visual identity);Prestations de design graphique (affiches, logos, chartes graphiques)
CA.04;COMMUNICATION : TRAVAUX PHOTOGRAPHIQUES ;Photography for institutional use (e.g. portraits, events);Services photographiques (reportages, portraits, retouches)
CA.1;COMMUNICATION : COMMUNICATION WEB;Digital and web-based communication strategies and tools;Communication digitale et outils web
CA.11;COMMUNICATION : CONCEPTION, REALISATION DE SITES INTERNET ET FRAIS CONNEXES;Website creation and management (design, development, hosting);Création, refonte ou maintenance de sites internet (webdesign, développement, hébergement)
CA.12;COMMUNICATION : CONCEPTION ET REALISATION DE RESEAUX SOCIAUX;Social media strategy and content production (e.g. community management);Création de contenus et animation de réseaux sociaux (community management)
CA.13;COMMUNICATION : CONCEPTION ET REALISATION D'APPLICATIONS MOBILES ET WEB;Design and development of web and mobile applications;Création d'applications mobiles et web (interfaces, fonctionnalités, UX)
CA.14;COMMUNICATION : CONCEPTION ET REALISATION D'AUTRES OUTILS DE COMMUNICATION WEB;Creation of other web communication tools (e.g. newsletters, banners);Conception d’outils web divers (newsletters, bannières, contenus interactifs)
CA.2;COMMUNICATION : EDITION;Publishing of communication materials, print or digital;Édition de documents de communication sur tous supports
CA.21;COMMUNICATION : EDITION DE DOCUMENTS IMPRIMES;Editing and production of printed materials (e.g. brochures, flyers);Édition de documents imprimés (brochures, flyers, rapports)
CA.22;COMMUNICATION : EDITION DE DOCUMENTS WEB;Publishing of web documents (e.g. PDFs, web content, infographics);Édition de contenus web (PDF, contenus éditoriaux en ligne)
CA.23;COMMUNICATION : CORRECTION ET RELECTURE DE DOCUMENTS;Proofreading and editing services (grammar, style, structure);Correction et relecture de textes (orthographe, syntaxe, style)
CA.24;COMMUNICATION : DIFFUSION ET PROMOTION DE DOCUMENTS SUR TOUS SUPPORTS;Distribution and promotion of content across media (print, web, social);Diffusion et promotion de documents (imprimés, numériques, multimédia)
CA.3;COMMUNICATION : PRODUCTION AUDIOVISUELLE;Audiovisual production for internal/external communication;Production audiovisuelle institutionnelle ou promotionnelle
CA.31;COMMUNICATION : CONCEPTION-REALISATION AUDIOVISUELLES;Conception and production of videos (e.g. interviews, reports, motion design);Création audiovisuelle (vidéos, interviews, reportages, motion design)
CA.32;COMMUNICATION : SERVICES AUDIOVISUELS D'INGENIERIE DU SON;Audio engineering services (e.g. sound recording, mixing);Ingénierie du son (prise de son, montage audio, mixage)
CA.33;COMMUNICATION : SERVICES AUDIOVISUELS D'INGENIERIE DE L'IMAGE;Video/image engineering (e.g. filming, color grading, editing);Ingénierie de l’image (captation vidéo, étalonnage, montage)
